    61,     72,     71,     68,     61,     72,     71,      68,   61,
    73,     71,     62,     71,     73,     71,     62,      71,   73,
    68,     61,     72,     72,     68,     61,     72,      72,   68,
    77,     80,     99,    104,     77,     80,     99,     104,   77,
   105,    104,    118,    119,    105,    104,    118,     119,   105,
   119,    139,    139,    133,    119,    139,    139,     133,   119,
   137,    129,    118,    101,    137,    129,    118,     101,   137,
    95,    100,    132,    121,     95,    100,    132,     121,   95,
   111,    122,    120,    118,    111,    122,    120,     118,   111,
   113,    129,    133,    133,    113,    129,    133,     133,   113,
   130,    138,    149,    144,    130,    138,    149,     144,   130,
   136,    148,    146,    140,    136,    148,    146,     140,   136,
   131,    143,    141,    138,    131,    143,    141,     138,   131,
   131,    143,    143,    139,    131,    143,    143,     139,   131,
   132,    145,    142,    135,    132,    145,    142,     135,   132,
   124,    134,    131,    124,    124,    134,    131,     124,   124,
   115,    123,    122,    117,    115,    123,    122,     117,   115,
   110,    120,    119,    115,    110,    120,    119,     115,   110,
   107,    117,    111,    102,    107,    117,    111,     102,   107,
    89,     93,     91,     85,     89,     93,     91,      85,   89,
    77,     83,     84,     82,     77,     83,     84,      82,   77,
    76,     83,     85,     83,     76,     83,     85,      83,   76,
    76,     84,     86,     84,     76,     84,     86,      84,   76,
    79,     87,     89,     87,     79,     87,     89,      87,   79,
    82,     93,     99,    102,     82,     93,     99,     102,   82,
   103,    122,    132,    139,    103,    122,    132,     139,   103,
   145,    150,    140,    127,    145,    150,    140,     127,   145,
   108,    112,    107,     98,    108,    112,    107,      98,   108,
    87,     93,     92,     91,     87,     93,     92,      91,   87,
    85,     92,     90,     87,     85,     92,     90,      87,   85,
    81,     90,     91,     90,     81,     90,     91,      90,   81,
    86,     97,     98,     98,     86,     97,     98,      98,   86,
    93,    100,     99,     95,     93,    100,     99,      95,   93,
    87,     95,     94,     91,     87,     95,     94,      91,   87,
    89,    100,    104,    106,     89,    100,    104,     106,   89,
   107,    121,    125,    128,    107,    121,    125,     128,   107,
   124,    135,    133,    131,    124,    135,    133,     131,   124,
   126,    137,    136,    131,    126,    137,    136,     131,   126,
   112,    113,    105,     96,    112,    113,    105,      96,   112,
    85,     91,     88,     85,     85,     91,     88,      85,   85,
    80,     88,     89,     87,     80,     88,     89,      87,   80,
    81,     89,     90,     88,     81,     89,     90,      88,   81,
    81,     89,     89,     87,     81,     89,     89,      87,   81,
    81,     89,     90,     90,     81,     89,     90,      90,   81,
    88,    101,    107,    111,     88,    101,    107,     111,   88,
   116,    137,    143,    130,    116,    137,    143,     130,   116,
   112,    113,    105,     97,    112,    113,    105,      97,   112,
    86,     91,     89,     87,     86,     91,     89,      87,   86,
    81,     89,     90,     88,     81,     89,     90,      88,   81,
    82,     90,     91,     90,     82,     90,     91,      90,   82,
    87,     97,     99,     99,     87,     97,     99,      99,   87,
    97,    110,    109,    107,     97,    110,    109,     107,   97,
   101,    110,    110,    107,    101,    110,    110,     107,   101,
   102,    111,    112,    111,    102,    111,    112,     111,   102,
   108,    120,    122,    121,    108,    120,    122,     121,   108,
   119,    132,    131,    128,    119,    132,    131,     128,   119,
   124,    136,    136,    133,    124,    136,    136,     133,   124,
   129,    135,    124,    112,    129,    135,    124,     112,   129,
    98,    101,     96,     90,     98,    101,     96,      90,   98,
    81,     89,     90,     88,     81,     89,     90,      88,   81,
    83,     92,     92,     91,     83,     92,     92,      91,   83,
    86,     95,    103,    107,     86,     95,    103,     107,   86,
   110,    129,    138,    146,    110,    129,    138,     146,   110,
   151,    160,    154,    147,    151,    160,    154,     147,   151,
   137,    146,    141,    135,    137,    146,    141,     135,   137,
   128,    138,    136,    133,    128,    138,    136,     133,   128,
   128,    139,    137,    134,    128,    139,    137,     134,   128,
   127,    136,    132,    127,    127,    136,    132,     127,   127,
   120,    129,    125,    121,    120,    129,    125,     121,   120,
   114,    122,    118,    114,    114,    122,    118,     114,   114,
   107,    115,    112,    108,    107,    115,    112,     108,   107,
    98,    103,     99,     94,     98,    103,     99,      94,   98,
    85,     91,     89,     87,     85,     91,     89,      87,   85,
    86,     99,    104,    110,     86,     99,    104,     110,   86,
   116,    137,    148,    146,    116,    137,    148,     146,   116,
   156,    168,    161,    151,    156,    168,    161,     151,   156,
   130,    141,    138,    100,    130,    141,    138,     100,   130,
   100,    113,    118,    120,    100,    113,    118,     120,   100,
   121,    138,    142,    137,    121,    138,    142,     137,   121,
   132,    142,    140,    135,    132,    142,    140,     135,   132,
   141,    157,    156,    151,    141,    157,    156,     151,   141,
   142,    157,    156,    138,    142,    157,    156,     138,   142,
   132,    142,    140,    134,    132,    142,    140,     134,   132,
   126,    135,    132,    127,    126,    135,    132,     127,   126,
   119,    127,    129,    128,    119,    127,    129,     128,   119,
   126,    141,    143,    142,    126,    141,    143,     142,   126,
   140,    156,    151,    141,    140,    156,    151,     141,   140,
   129,    135,    130,    123,    129,    135,    130,     123,   129,
   112,    119,    126,    127,    112,    119,    126,     127,   112,
   129,    145,    150,    152,    129,    145,    150,     152,   129,
   155,    165,    162,    156,    155,    165,    162,     156,   155,
   148,    158,    145,    125,    148,    158,    145,     125,   148,
   138,    117,    104,    121,    138,    117,    104,     121,   138,
   107,     99,     94,     96,    107,     99,     94,      96,   107,
    89,     95,     94,     97,     89,     95,     94,      97,   89,
    91,    101,     96,     99,     91,    101,     96,      99,   91,
    93,     99,     97,     97,     93,     99,     97,      97,   93,
    90,     98,     98,     95,     90,     98,     98,      95,   90,
    89,    101,    105,    106,     89,    101,    105,     106,   89,
   106,    123,    129,    134,    106,    123,    129,     134,   106,
   126,    131,    124,    116,    126,    131,    124,     116,   126,
   122,    123,    125,    114,    122,    123,    125,     114,   122,
   111,    122,    118,    110,    111,    122,    118,     110,   111,
   115,    120,    193,    120,    115,    120,    193,     120,   115,
   131,    117,    113,    108,    131,    117,    113,     108,   131,
    98,    105,    103,     99,     98,    105,    103,      99,   98,
    93,    102,    102,    100,     93,    102,    102,     100,   93,
    94,    132,    100,    101,     94,    132,    100,     101,   94,
    96,    105,    106,    104,     96,    105,    106,     104,   96,
   115,    120,    107,    108,    115,    120,    107,     108,   115,
   104,    115,    116,    115,    104,    115,    116,     115,   104,
   110,    122,    105,    108,    110,    122,    105,     108,   110,
   106,    119,    119,    115,    106,    119,    119,     115,   106,
   107,    116,    114,    110,    107,    116,    114,     110,   107,
   102,    110,    117,    142,    102,    110,    117,     142,   102,
   126,    142,    143,    143,    126,    142,    143,     143,   126,
   134,    157,    162,    162,    134,    157,    162,     162,   134,
   155,    181,    180,    173,    155,    181,    180,     173,   155,
   157,    174,    171,    165,    157,    174,    171,     165,   157,
   149,    167,    169,    168,    149,    167,    169,     168,   149,
   158,    182,    184,    182,    158,    182,    184,     182,   158,
   172,    197,    194,    185,    172,    197,    194,     185,   172,
   166,    185,    183,    175,    166,    185,    183,     175,   166,
   155,    170,    160,    147,    155,    170,    160,     147,   155,
   122,    135,    133,    125,    122,    135,    133,     125,   122,
   106,    125,    131,    132,    106,    125,    131,     132,   106,
   125,    154,    167,    175,    125,    154,    167,     175,   125,
   178,    190,    177,    161,    178,    190,    177,     161,   178,
   134,    146,    138,    128,    134,    146,    138,     128,   134,
   109,    125,    126,    121,    109,    125,    126,     121,   109,
   105,    121,    123,    118,    105,    121,    123,     118,   105,
   104,    123,    129,    128,    104,    123,    129,     128,   104,
   121,    147,    157,    162,    121,    147,    157,     162,   121,
   148,    159,    153,    142,    148,    159,    153,     142,   148,
   121,    134,    132,    125,    121,    134,    132,     125,   121,
   111,    129,    134,    135,    111,    129,    134,     135,   111,
   124,    145,    150,    147,    124,    145,    150,     147,   124,
   134,    154,    156,    152,    134,    154,    156,     152,   134,
   139,    160,    162,    156,    139,    160,    162,     156,   139,
   131,    143,    139,    131,    131,    143,    139,     131,   131,
   111,    126,    127,    121,    111,    126,    127,     121,   111,
   105,    123,    127,    123,    105,    123,    127,     123,   105,
   108,    126,    129,    125,    108,    126,    129,     125,   108,
   108,    126,    129,    125,    108,    126,    129,     125,   108,
   109,    127,    129,    126,    109,    127,    129,     126,   109,
   112,    132,    136,    133,    112,    132,    136,     133,   112,
   121,    142,    142,    103,    121,    142,    142,     103,   121,
    89,     97,     96,     91,     89,     97,     96,      91,   89,
    81,     89,     91,     88,     81,     89,     91,      88,   81,
    81,     90,     92,     89,     81,     90,     92,      89,   81,
    82,     91,     93,     90,     82,     91,     93,      90,   82,
    82,     90,     92,     89,     82,     90,     92,      89,   82,
    81,     89,     92,     89,     81,     89,     92,      89,   81,
    83,     93,     96,     94,     83,     93,     96,      94,   83,
    89,    100,    135,    135,     89,    100,    135,     135,   89,
   125,    147,    151,    151,    125,    147,    151,     151,   125,
   144,    164,    163,    158,    144,    164,    163,     158,   144,
   143,    161,    162,    156,    143,    161,    162,     156,   143,
   118,    119,    115,    108,    118,    119,    115,     108,   118,
    93,     75,     75,     78,     93,     75,     75,      78,   93,
    75,     76,     73,     75,     75,     76,     73,      75,   75,
    74,     76,     66,     74,     74,     76,     66,      74,   74,
    64,     84,     83,     51,     64,     84,     83,      51,   64,
    60,     87,     87,     88,     60,     87,     87,      88,   60,
    83,     92,     97,     98,     83,     92,     97,      98,   83,
